Header,Date,Title,Link,type,session,file_name,text_file_name
NA,NA,Singapore,https://resolutions.unep.org/resolutions/uploads/singapore_0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/singapore_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/singapore_0.txt
NA,NA,Sri Lanka,https://resolutions.unep.org/resolutions/uploads/sri_lanka_statements.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/sri_lanka_statements.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/sri_lanka_statements.txt
NA,NA,Syrian Arab Republic,https://resolutions.unep.org/resolutions/uploads/syrian_arabic_republic_general_statement_0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/syrian_arabic_republic_general_statement_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/syrian_arabic_republic_general_statement_0.txt
NA,NA,Thailand,https://resolutions.unep.org/resolutions/uploads/thailand_statements.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/thailand_statements.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/thailand_statements.txt
NA,NA,United Arab Emirates,https://resolutions.unep.org/resolutions/uploads/uae.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/uae.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/uae.txt
NA,NA,Viet Nam,https://resolutions.unep.org/resolutions/uploads/viet_nam_0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/viet_nam_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/viet_nam_0.txt
NA,NA,Armenia,https://resolutions.unep.org/resolutions/uploads/armenia_111docx_0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/armenia_111docx_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/armenia_111docx_0.txt
NA,NA,Georgia,https://resolutions.unep.org//resolutions/uploads/georgia_statement.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/georgia_statement.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/georgia_statement.txt
NA,NA,Montenegro,https://resolutions.unep.org/resolutions/uploads/montenegro_mne_statement_inc1_final_final_0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/montenegro_mne_statement_inc1_final_final_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/montenegro_mne_statement_inc1_final_final_0.txt
NA,NA,Russian Federation,https://resolutions.unep.org/resolutions/uploads/russia_federation_all_statements.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/russia_federation_all_statements.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/russia_federation_all_statements.txt
NA,NA,Ukraine,https://resolutions.unep.org/resolutions/uploads/ukraine_all_statements.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/ukraine_all_statements.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/ukraine_all_statements.txt
NA,NA,Argentina,https://resolutions.unep.org/resolutions/uploads/intervencion_argentina_general_statement_0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/intervencion_argentina_general_statement_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/intervencion_argentina_general_statement_0.txt
NA,NA,Brazil,https://resolutions.unep.org/resolutions/uploads/brazil_all_statements.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/brazil_all_statements.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/brazil_all_statements.txt
NA,NA,Chile,https://resolutions.unep.org/resolutions/uploads/chile_-_all_statements.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/chile_-_all_statements.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/chile_-_all_statements.txt
NA,NA,Colombia,https://resolutions.unep.org/resolutions/uploads/intervenciones_de_colombia_en_inc1_de_plasticos_0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/intervenciones_de_colombia_en_inc1_de_plasticos_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/intervenciones_de_colombia_en_inc1_de_plasticos_0.txt
NA,NA,Costa Rica,https://resolutions.unep.org/resolutions/uploads/costa_rica_general_statement_0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/costa_rica_general_statement_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/costa_rica_general_statement_0.txt
NA,NA,Cuba,https://resolutions.unep.org/resolutions/uploads/cuba_-_all_statements.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/cuba_-_all_statements.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/cuba_-_all_statements.txt
NA,NA,Dominican Republic,https://resolutions.unep.org/resolutions/uploads/dominican_republic_statements.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/dominican_republic_statements.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/dominican_republic_statements.txt
NA,NA,Ecuador,https://resolutions.unep.org/resolutions/uploads/ecuador_all_statements_0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/ecuador_all_statements_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/ecuador_all_statements_0.txt
NA,NA,El Salvador,https://resolutions.unep.org//resolutions/uploads/el_salvador_all_statements.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/el_salvador_all_statements.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/el_salvador_all_statements.txt
NA,NA,Mexico,https://resolutions.unep.org/resolutions/uploads/mexico_all_statements.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/mexico_all_statements.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/mexico_all_statements.txt
NA,NA,Panama,https://resolutions.unep.org/resolutions/uploads/panama_all_statements.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/panama_all_statements.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/panama_all_statements.txt
NA,NA,Peru,https://resolutions.unep.org/resolutions/uploads/perustatement.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/perustatement.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/perustatement.txt
NA,NA,Trinidad and Tobago,https://resolutions.unep.org/resolutions/uploads/the_republic_of_trinidad_and_tobago_0_0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/the_republic_of_trinidad_and_tobago_0_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/the_republic_of_trinidad_and_tobago_0_0.txt
NA,NA,Uruguay,https://resolutions.unep.org/resolutions/uploads/uruguay_all_statements.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/uruguay_all_statements.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/uruguay_all_statements.txt
NA,NA,Venezuela,https://resolutions.unep.org/resolutions/uploads/venezuela_all_statement.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/venezuela_all_statement.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/venezuela_all_statement.txt
NA,NA,Australia,https://resolutions.unep.org/resolutions/uploads/australia_statement.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/australia_statement.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/australia_statement.txt
NA,NA,Canada,https://resolutions.unep.org/resolutions/uploads/canada_-_all_statements.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/canada_-_all_statements.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/canada_-_all_statements.txt
NA,NA,France,https://resolutions.unep.org//resolutions/uploads/france_date_and_venue_of_future_inc_meetings_0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/france_date_and_venue_of_future_inc_meetings_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/france_date_and_venue_of_future_inc_meetings_0.txt
NA,NA,Iceland,https://resolutions.unep.org//resolutions/uploads/iceland_0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/iceland_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/iceland_0.txt
NA,NA,Italy,https://resolutions.unep.org//resolutions/uploads/italy_statement_italy_28-11-2022_0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/italy_statement_italy_28-11-2022_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/italy_statement_italy_28-11-2022_0.txt
NA,NA,Monaco,https://resolutions.unep.org/resolutions/uploads/monaco_0_0.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/monaco_0_0.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/monaco_0_0.txt
NA,NA,New Zealand,https://resolutions.unep.org/resolutions/uploads/inc1_new_zealand_statements_and_interventions_under_agenda_item_4.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/inc1_new_zealand_statements_and_interventions_under_agenda_item_4.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/inc1_new_zealand_statements_and_interventions_under_agenda_item_4.txt
NA,NA,Norway,https://resolutions.unep.org/resolutions/uploads/norway_all_statements.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/norway_all_statements.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/norway_all_statements.txt
NA,NA,Switzerland,https://resolutions.unep.org/resolutions/uploads/switzerland_statements.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/switzerland_statements.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/switzerland_statements.txt
NA,NA,Türkiye,https://resolutions.unep.org/resolutions/uploads/turkiye_statements.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/turkiye_statements.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/turkiye_statements.txt
NA,NA,United Kingdom of Great Britain and Northern Ireland,https://resolutions.unep.org/resolutions/uploads/uk_statements.pdf,Members,session-1,~/Dropbox/plastics_text_analysis/downloads/session-1/uk_statements.pdf,~/Dropbox/research_seed/INC-Plastic-Polution/tmp_data/text/session-1/uk_statements.txt
